DepositName,age,DepClan,Pb64,Pb74,Pb84
Mattagami,2725,VMS,13.13,14.324,32.996
Joutel,2729,VMS,13.184,14.351,33.039
Chibougamau,2726,VMS,13.262,14.441,33.186
Troilus Lake,2791,VMS,13.314,14.5,33.183
Eastmain,2700,Lode Au,13.365,14.549,33.207
Madsen,2710,Lode Au,13.46,14.591,33.257
Timmins,2701,VMS,13.927,14.731,33.637
Patry,3050,Ni-PGE-Cr,18.403,15.396,36.009
Lorraine,3050,Ni-PGE-Cr,18.041,15.526,37.704
Noranda,2698,VMS,17.77,15.557,37.51
Mattagami,2730,VMS,13.122,14.319,32.969
Mattagami,2725,VMS,13.12,14.319,32.976
Mattagami,2730,VMS,13.127,14.325,32.99
Mattagami,2725,VMS,13.118,14.325,32.987
Mattagami,2730,VMS,13.129,14.327,32.97
Mattagami,2725,VMS,13.129,14.327,32.973
Mattagami,2725,VMS,13.145,14.344,33.021
Mattagami,2725,VMS,13.153,14.345,33.021
Mattagami,2725,VMS,13.174,14.346,33.04
Mattagami,2725,VMS,13.142,14.346,33.021
Mattagami,2725,VMS,13.142,14.346,33.021
Mattagami,2725,VMS,13.153,14.349,33.038
Joutel,2729,VMS,13.19,14.357,33.06
Joutel,2728,VMS,13.166,14.361,33.017
Joutel,2729,VMS,13.211,14.362,33.071
Joutel,2728,VMS,13.17,14.366,33.012
Joutel,2729,VMS,13.205,14.369,33.1
Joutel,2729,VMS,13.191,14.369,33.084
Joutel,2728,VMS,13.173,14.369,33.023
Joutel,2728,VMS,13.172,14.369,33.027
Joutel,2728,VMS,13.173,14.37,33.026
Mattagami,2725,VMS,13.23,14.371,33.2
Joutel,2728,VMS,13.175,14.372,33.017
Joutel,2728,VMS,13.167,14.372,33.061
Joutel,2728,VMS,13.175,14.373,33.034
Mattagami,2725,VMS,13.361,14.375,33.271
Mattagami,2725,VMS,13.256,14.375,33.154
Desmaraisville - Coniagas Mines,2715,VMS,13.204,14.378,33.074
Desmaraisville - Coniagas Mines,2715,VMS,13.198,14.38,33.079
Winston Lake - Winston Lake,2723,VMS,13.179,14.38,33.071
Manitouwadge - Geco,2720,VMS,13.203,14.381,33.009
Joutel,2728,VMS,13.187,14.381,33.056
Manitouwadge - Willecho,2720,VMS,13.223,14.397,33.102
Joutel,2720,VMS,13.246,14.398,33.083
Mattagami,2730,VMS,13.416,14.4,33.327
Manitouwadge - Geco,2720,VMS,13.228,14.402,33.092
Desmaraisville - Coniagas Mines,2715,VMS,13.26,14.419,33.139
Chibougamau,2726,VMS,13.279,14.422,33.172
Uchi-Confederation - South Bay,2740,VMS,13.271,14.425,33.098
Uchi-Confederation - South Bay,2740,VMS,13.27,14.425,33.097
Uchi-Confederation - South Bay,2740,VMS,13.27,14.426,33.096
Uchi-Confederation - South Bay,2740,VMS,13.272,14.427,33.1
Uchi-Confederation - South Bay,2740,VMS,13.272,14.427,33.1
Timmins,2714,VMS,13.235,14.427,33.032
Uchi-Confederation - South Bay,2740,VMS,13.272,14.429,33.076
Timmins,2714,VMS,13.25,14.43,33.06
Timmins,2714,VMS,13.25,14.43,33.07
Val dOr - East Sullivan,2715,VMS,13.235,14.43,33.082
Uchi-Confederation - South Bay,2740,VMS,13.275,14.432,33.083
Timmins,2714,VMS,13.246,14.434,33.096
Timmins,2714,VMS,13.246,14.434,33.096
Noranda,2701,VMS,13.263,14.436,33.089
Uchi-Confederation - Copper Lode A&E,2738,VMS,13.29,14.438,33.129
Uchi-Confederation - South Bay,2740,VMS,13.289,14.438,NA
Noranda,2701,VMS,13.266,14.44,33.099
Timmins,2714,VMS,13.26,14.44,33.06
Timmins,2714,VMS,13.26,14.44,33.08
Timmins,2714,VMS,13.25,14.44,33.08
Timmins,2714,VMS,13.245,14.442,33.098
Timmins,2714,VMS,13.263,14.443,33.083
Val dOr - Louvicourt,466,VMS,13.241,14.443,33.119
Val dOr - Louvicourt,466,VMS,13.241,14.443,33.119
Timmins,2714,VMS,13.249,14.444,33.084
Timmins,2714,VMS,13.253,14.446,33.11
Timmins,2714,VMS,13.251,14.447,33.092
Bousquet - Bousquet #2,2698,VMS,13.273,14.448,33.117
Uchi-Confederation - South Bay,2740,VMS,13.304,14.45,NA
Timmins,2701,VMS,13.278,14.45,33.098
Timmins,2714,VMS,13.265,14.45,33.127
Timmins,2714,VMS,13.262,14.45,33.128
Timmins,2714,VMS,13.26,14.45,33.1
Timmins,2714,VMS,13.26,14.45,33.13
Mattagami,2725,VMS,13.679,14.451,33.601
Timmins,2701,VMS,13.281,14.455,33.141
Timmins,2714,VMS,13.332,14.456,33.189
Amos-Barraute - Abcourt-Barvue,2706,VMS,13.278,14.458,33.131
Amos-Barraute - Abcourt-Barvue,2706,VMS,13.278,14.458,33.131
Noranda,2698,VMS,13.294,14.459,33.122
Timmins,2701,VMS,13.282,14.459,33.142
Timmins,2714,VMS,13.27,14.46,33.17
Noranda,2698,VMS,13.29,14.461,33.147
"Hollinger, Pamour 85n",2670,Lode Au,13.321,14.462,33.146
Noranda,2698,VMS,13.286,14.462,33.104
Sturgeon Lake - Sturgeon Lake,2735.5,VMS,13.315,14.464,33.09
Noranda,2698,VMS,13.288,14.464,33.104
